,"[2,1]","[3,1]","[3,2]","[4,1]","[4,2]","[4,3]"
443,2,0,3,6,8,7
444,0,0,4,0,3,0
445,0,1,1,8,15,14
446,0,0,0,0,0,0
447,0,8,8,3,4,0
448,2,2,0,8,0,0
449,0,0,0,0,0,10
450,0,0,9,0,3,0
451,1,1,1,0,0,0
452,1,0,0,3,8,10
453,0,0,3,0,8,6
454,3,3,0,3,0,3
455,0,0,0,0,0,23
456,1,3,6,22,9,20
457,1,0,0,1,6,6
458,0,2,2,7,6,3
459,1,0,4,17,26,38
460,0,3,3,4,13,4
461,0,0,5,0,11,6
462,0,0,5,0,9,0
463,0,0,3,0,31,39
464,0,0,0,0,0,12
465,0,0,0,0,0,0
466,0,0,0,0,0,3
467,1,5,3,3,12,3
468,0,0,5,0,14,0
469,1,0,2,11,2,12
470,2,3,0,0,0,0
471,2,1,0,8,0,10
472,1,1,2,0,0,0
473,1,3,5,3,23,12
474,1,1,0,0,0,0
475,1,2,0,2,0,1
476,2,2,3,3,4,7
477,2,3,0,1,0,0
478,0,0,7,0,3,0
479,2,2,0,5,0,54
480,0,0,7,0,19,0
481,1,7,0,9,0,0
482,0,3,3,17,27,19
483,0,0,2,0,1,16
484,1,4,4,6,2,0
485,1,1,2,4,6,10
486,1,1,0,9,0,2
487,1,0,0,2,1,2
488,1,3,2,7,20,0
489,2,1,3,0,0,0
490,0,0,0,0,0,6
491,2,2,2,4,13,21
492,2,5,0,16,0,0
493,0,0,2,0,34,46
494,3,3,0,9,0,0
495,1,0,0,1,2,3
496,0,0,1,0,0,0
497,1,1,3,5,13,12
498,0,2,2,9,13,8
499,0,0,0,0,0,0
500,1,1,2,0,0,0
501,0,0,0,0,0,4
502,1,0,5,13,2,13
503,1,1,0,1,4,6
504,1,1,0,11,0,12
505,1,1,4,0,0,0
506,1,0,0,1,6,7
507,1,1,3,0,0,0
508,0,0,6,0,1,0
509,4,3,0,1,0,0
510,0,0,6,0,0,0
511,1,3,1,0,0,0
512,2,1,1,0,0,0
513,0,0,0,0,0,7
514,1,1,1,1,14,25
515,0,0,0,0,0,15
516,1,0,1,1,0,1
517,0,0,5,0,21,6
